,tokens,Sentiment
27,"[u'Took', u'an', u'hour', u'to', u'get', u'our', u'food', u'only', u'4', u'tables', u'in', u'restaurant', u'my', u'food', u'was', u'Luke', u'warm', u'Our', u'sever', u'was', u'running', u'around', u'like', u'he', u'was', u'totally', u'overwhelmed']",0
28,"[u'The', u'worst', u'was', u'the', u'salmon', u'sashimi']",0
29,"[u'Also', u'there', u'are', u'combos', u'like', u'a', u'burger', u'fries', u'and', u'beer', u'for', u'23', u'which', u'is', u'a', u'decent', u'deal']",1
30,"[u'This', u'was', u'like', u'the', u'final', u'blow']",0
31,"[u'I', u'found', u'this', u'place', u'by', u'accident', u'and', u'I', u'could', u'not', u'be', u'happier']",1
32,"[u'seems', u'like', u'a', u'good', u'quick', u'place', u'to', u'grab', u'a', u'bite', u'of', u'some', u'familiar', u'pub', u'food', u'but', u'do', u'yourself', u'a', u'favor', u'and', u'look', u'elsewhere']",0
33,"[u'Overall', u'I', u'like', u'this', u'place', u'a', u'lot']",1
34,"[u'The', u'only', u'redeeming', u'quality', u'of', u'the', u'restaurant', u'was', u'that', u'it', u'was', u'very', u'inexpensive']",1
35,"[u'Ample', u'portions', u'and', u'good', u'prices']",1
36,"[u'Poor', u'service', u'the', u'waiter', u'made', u'me', u'feel', u'like', u'I', u'was', u'stupid', u'every', u'time', u'he', u'came', u'to', u'the', u'table']",0
37,"[u'My', u'first', u'visit', u'to', u'Hiro', u'was', u'a', u'delight']",1
38,"[u'Service', u'sucks']",0
39,"[u'The', u'shrimp', u'tender', u'and', u'moist']",1
40,"[u'There', u'is', u'not', u'a', u'deal', u'good', u'enough', u'that', u'would', u'drag', u'me', u'into', u'that', u'establishment', u'again']",0
41,"[u'Hard', u'to', u'judge', u'whether', u'these', u'sides', u'were', u'good', u'because', u'we', u'were', u'grossed', u'out', u'by', u'the', u'melted', u'styrofoam', u'and', u'didn', u't', u'want', u'to', u'eat', u'it', u'for', u'fear', u'of', u'getting', u'sick']",0
42,"[u'On', u'a', u'positive', u'note', u'our', u'server', u'was', u'very', u'attentive', u'and', u'provided', u'great', u'service']",1
43,"[u'Frozen', u'pucks', u'of', u'disgust', u'with', u'some', u'of', u'the', u'worst', u'people', u'behind', u'the', u'register']",0
44,"[u'The', u'only', u'thing', u'I', u'did', u'like', u'was', u'the', u'prime', u'rib', u'and', u'dessert', u'section']",1
45,"[u'It', u's', u'too', u'bad', u'the', u'food', u'is', u'so', u'damn', u'generic']",0
46,"[u'The', u'burger', u'is', u'good', u'beef', u'cooked', u'just', u'right']",1
47,"[u'If', u'you', u'want', u'a', u'sandwich', u'just', u'go', u'to', u'any', u'Firehouse']",1
48,"[u'My', u'side', u'Greek', u'salad', u'with', u'the', u'Greek', u'dressing', u'was', u'so', u'tasty', u'and', u'the', u'pita', u'and', u'hummus', u'was', u'very', u'refreshing']",1
49,"[u'We', u'ordered', u'the', u'duck', u'rare', u'and', u'it', u'was', u'pink', u'and', u'tender', u'on', u'the', u'inside', u'with', u'a', u'nice', u'char', u'on', u'the', u'outside']",1
50,"[u'He', u'came', u'running', u'after', u'us', u'when', u'he', u'realized', u'my', u'husband', u'had', u'left', u'his', u'sunglasses', u'on', u'the', u'table']",1
51,"[u'Their', u'chow', u'mein', u'is', u'so', u'good']",1
52,"[u'They', u'have', u'horrible', u'attitudes', u'towards', u'customers', u'and', u'talk', u'down', u'to', u'each', u'one', u'when', u'customers', u'don', u't', u'enjoy', u'their', u'food']",0
53,"[u'The', u'portion', u'was', u'huge']",1
54,"[u'Loved', u'it', u'friendly', u'servers', u'great', u'food', u'wonderful', u'and', u'imaginative', u'menu']",1
55,"[u'The', u'Heart', u'Attack', u'Grill', u'in', u'downtown', u'Vegas', u'is', u'an', u'absolutely', u'flat', u'lined', u'excuse', u'for', u'a', u'restaurant']",0
56,"[u'Not', u'much', u'seafood', u'and', u'like', u'5', u'strings', u'of', u'pasta', u'at', u'the', u'bottom']",0
57,"[u'The', u'salad', u'had', u'just', u'the', u'right', u'amount', u'of', u'sauce', u'to', u'not', u'over', u'power', u'the', u'scallop', u'which', u'was', u'perfectly', u'cooked']",1
58,"[u'The', u'ripped', u'banana', u'was', u'not', u'only', u'ripped', u'but', u'petrified', u'and', u'tasteless']",0
59,"[u'At', u'least', u'think', u'to', u'refill', u'my', u'water', u'before', u'I', u'struggle', u'to', u'wave', u'you', u'over', u'for', u'10', u'minutes']",0
60,"[u'This', u'place', u'receives', u'stars', u'for', u'their', u'APPETIZERS']",1
61,"[u'The', u'cocktails', u'are', u'all', u'handmade', u'and', u'delicious']",1
62,"[u'We', u'd', u'definitely', u'go', u'back', u'here', u'again']",1
63,"[u'We', u'are', u'so', u'glad', u'we', u'found', u'this', u'place']",1
64,"[u'Great', u'food', u'and', u'service', u'huge', u'portions', u'and', u'they', u'give', u'a', u'military', u'discount']",1
65,"[u'Always', u'a', u'great', u'time', u'at', u'Dos', u'Gringos']",1
66,"[u'Update', u'went', u'back', u'for', u'a', u'second', u'time', u'and', u'it', u'was', u'still', u'just', u'as', u'amazing']",1
67,"[u'We', u'got', u'the', u'food', u'and', u'apparently', u'they', u'have', u'never', u'heard', u'of', u'salt', u'and', u'the', u'batter', u'on', u'the', u'fish', u'was', u'chewy']",0
68,"[u'A', u'great', u'way', u'to', u'finish', u'a', u'great']",1
69,"[u'The', u'deal', u'included', u'5', u'tastings', u'and', u'2', u'drinks', u'and', u'Jeff', u'went', u'above', u'and', u'beyond', u'what', u'we', u'expected']",1
70,"[u'Really', u'really', u'good', u'rice', u'all', u'the', u'time']",1
71,"[u'The', u'service', u'was', u'meh']",0
72,"[u'It', u'took', u'over', u'30', u'min', u'to', u'get', u'their', u'milkshake', u'which', u'was', u'nothing', u'more', u'than', u'chocolate', u'milk']",0
73,"[u'I', u'guess', u'I', u'should', u'have', u'known', u'that', u'this', u'place', u'would', u'suck', u'because', u'it', u'is', u'inside', u'of', u'the', u'Excalibur', u'but', u'I', u'didn', u't', u'use', u'my', u'common', u'sense']",0
74,"[u'The', u'scallop', u'dish', u'is', u'quite', u'appalling', u'for', u'value', u'as', u'well']",0
75,"[u'2', u'times', u'Very', u'Bad', u'Customer', u'Service']",0
76,"[u'The', u'sweet', u'potato', u'fries', u'were', u'very', u'good', u'and', u'seasoned', u'well']",1
77,"[u'Today', u'is', u'the', u'second', u'time', u'I', u've', u'been', u'to', u'their', u'lunch', u'buffet', u'and', u'it', u'was', u'pretty', u'good']",1
78,"[u'There', u'is', u'so', u'much', u'good', u'food', u'in', u'Vegas', u'that', u'I', u'feel', u'cheated', u'for', u'wasting', u'an', u'eating', u'opportunity', u'by', u'going', u'to', u'Rice', u'and', u'Company']",0
79,"[u'Coming', u'here', u'is', u'like', u'experiencing', u'an', u'underwhelming', u'relationship', u'where', u'both', u'parties', u'can', u't', u'wait', u'for', u'the', u'other', u'person', u'to', u'ask', u'to', u'break', u'up']",0
80,"[u'walked', u'in', u'and', u'the', u'place', u'smelled', u'like', u'an', u'old', u'grease', u'trap', u'and', u'only', u'2', u'others', u'there', u'eating']",0
81,"[u'The', u'turkey', u'and', u'roast', u'beef', u'were', u'bland']",0
82,"[u'This', u'place', u'has', u'it']",1
83,"[u'The', u'pan', u'cakes', u'everyone', u'are', u'raving', u'about', u'taste', u'like', u'a', u'sugary', u'disaster', u'tailored', u'to', u'the', u'palate', u'of', u'a', u'six', u'year', u'old']",0
84,"[u'I', u'love', u'the', u'Pho', u'and', u'the', u'spring', u'rolls', u'oh', u'so', u'yummy', u'you', u'have', u'to', u'try']",1
85,"[u'The', u'poor', u'batter', u'to', u'meat', u'ratio', u'made', u'the', u'chicken', u'tenders', u'very', u'unsatisfying']",0
86,"[u'All', u'I', u'have', u'to', u'say', u'is', u'the', u'food', u'was', u'amazing']",1
87,"[u'Omelets', u'are', u'to', u'die', u'for']",1
88,"[u'Everything', u'was', u'fresh', u'and', u'delicious']",1
89,"[u'In', u'summary', u'this', u'was', u'a', u'largely', u'disappointing', u'dining', u'experience']",0
90,"[u'It', u's', u'like', u'a', u'really', u'sexy', u'party', u'in', u'your', u'mouth', u'where', u'you', u're', u'outrageously', u'flirting', u'with', u'the', u'hottest', u'person', u'at', u'the', u'party']",1
91,"[u'Never', u'been', u'to', u'Hard', u'Rock', u'Casino', u'before', u'WILL', u'NEVER', u'EVER', u'STEP', u'FORWARD', u'IN', u'IT', u'AGAIN']",0
92,"[u'Best', u'breakfast', u'buffet']",1
93,"[u'say', u'bye', u'bye', u'to', u'your', u'tip', u'lady']",0
94,"[u'We', u'll', u'never', u'go', u'again']",0
95,"[u'Will', u'be', u'back', u'again']",1
96,"[u'Food', u'arrived', u'quickly']",1
97,"[u'It', u'was', u'not', u'good']",0
98,"[u'On', u'the', u'up', u'side', u'their', u'cafe', u'serves', u'really', u'good', u'food']",1
99,"[u'Our', u'server', u'was', u'fantastic', u'and', u'when', u'he', u'found', u'out', u'the', u'wife', u'loves', u'roasted', u'garlic', u'and', u'bone', u'marrow', u'he', u'added', u'extra', u'to', u'our', u'meal', u'and', u'another', u'marrow', u'to', u'go']",1
100,"[u'The', u'only', u'good', u'thing', u'was', u'our', u'waiter', u'he', u'was', u'very', u'helpful', u'and', u'kept', u'the', u'bloddy', u'mary', u's', u'coming']",1
101,"[u'Best', u'Buffet', u'in', u'town', u'for', u'the', u'price', u'you', u'cannot', u'beat', u'it']",1
102,"[u'I', u'LOVED', u'their', u'mussels', u'cooked', u'in', u'this', u'wine', u'reduction', u'the', u'duck', u'was', u'tender', u'and', u'their', u'potato', u'dishes', u'were', u'delicious']",1
103,"[u'This', u'is', u'one', u'of', u'the', u'better', u'buffets', u'that', u'I', u'have', u'been', u'to']",1
104,"[u'So', u'we', u'went', u'to', u'Tigerlilly', u'and', u'had', u'a', u'fantastic', u'afternoon']",1
105,"[u'The', u'food', u'was', u'delicious', u'our', u'bartender', u'was', u'attentive', u'and', u'personable', u'AND', u'we', u'got', u'a', u'great', u'deal']",1
106,"[u'The', u'ambience', u'is', u'wonderful', u'and', u'there', u'is', u'music', u'playing']",1
107,"[u'Will', u'go', u'back', u'next', u'trip', u'out']",1
108,"[u'Sooooo', u'good']",1
109,"[u'REAL', u'sushi', u'lovers', u'let', u's', u'be', u'honest', u'Yama', u'is', u'not', u'that', u'good']",0
110,"[u'At', u'least', u'40min', u'passed', u'in', u'between', u'us', u'ordering', u'and', u'the', u'food', u'arriving', u'and', u'it', u'wasn', u't', u'that', u'busy']",0
111,"[u'This', u'is', u'a', u'really', u'fantastic', u'Thai', u'restaurant', u'which', u'is', u'definitely', u'worth', u'a', u'visit']",1
112,"[u'Nice', u'spicy', u'and', u'tender']",1
113,"[u'Good', u'prices']",1
114,"[u'Check', u'it', u'out']",1
115,"[u'It', u'was', u'pretty', u'gross']",0
116,"[u'I', u've', u'had', u'better', u'atmosphere']",0
117,"[u'Kind', u'of', u'hard', u'to', u'mess', u'up', u'a', u'steak', u'but', u'they', u'did']",0
118,"[u'Although', u'I', u'very', u'much', u'liked', u'the', u'look', u'and', u'sound', u'of', u'this', u'place', u'the', u'actual', u'experience', u'was', u'a', u'bit', u'disappointing']",0
119,"[u'I', u'just', u'don', u't', u'know', u'how', u'this', u'place', u'managed', u'to', u'served', u'the', u'blandest', u'food', u'I', u'have', u'ever', u'eaten', u'when', u'they', u'are', u'preparing', u'Indian', u'cuisine']",0
120,"[u'Worst', u'service', u'to', u'boot', u'but', u'that', u'is', u'the', u'least', u'of', u'their', u'worries']",0
121,"[u'Service', u'was', u'fine', u'and', u'the', u'waitress', u'was', u'friendly']",1
122,"[u'The', u'guys', u'all', u'had', u'steaks', u'and', u'our', u'steak', u'loving', u'son', u'who', u'has', u'had', u'steak', u'at', u'the', u'best', u'and', u'worst', u'places', u'said', u'it', u'was', u'the', u'best', u'steak', u'he', u's', u'ever', u'eaten']",1
123,"[u'We', u'thought', u'you', u'd', u'have', u'to', u'venture', u'further', u'away', u'to', u'get', u'good', u'sushi', u'but', u'this', u'place', u'really', u'hit', u'the', u'spot', u'that', u'night']",1
124,"[u'Host', u'staff', u'were', u'for', u'lack', u'of', u'a', u'better', u'word', u'BITCHES']",0
125,"[u'Bland', u'Not', u'a', u'liking', u'this', u'place', u'for', u'a', u'number', u'of', u'reasons', u'and', u'I', u'don', u't', u'want', u'to', u'waste', u'time', u'on', u'bad', u'reviewing', u'I', u'll', u'leave', u'it', u'at', u'that']",0
126,"[u'Phenomenal', u'food', u'service', u'and', u'ambiance']",1
127,"[u'I', u'wouldn', u't', u'return']",0
128,"[u'Definitely', u'worth', u'venturing', u'off', u'the', u'strip', u'for', u'the', u'pork', u'belly', u'will', u'return', u'next', u'time', u'I', u'm', u'in', u'Vegas']",1
129,"[u'This', u'place', u'is', u'way', u'too', u'overpriced', u'for', u'mediocre', u'food']",0
130,"[u'Penne', u'vodka', u'excellent']",1
131,"[u'They', u'have', u'a', u'good', u'selection', u'of', u'food', u'including', u'a', u'massive', u'meatloaf', u'sandwich', u'a', u'crispy', u'chicken', u'wrap', u'a', u'delish', u'tuna', u'melt', u'and', u'some', u'tasty', u'burgers']",1
132,"[u'The', u'management', u'is', u'rude']",0
133,"[u'Delicious', u'NYC', u'bagels', u'good', u'selections', u'of', u'cream', u'cheese', u'real', u'Lox', u'with', u'capers', u'even']",1
134,"[u'Great', u'Subway', u'in', u'fact', u'it', u's', u'so', u'good', u'when', u'you', u'come', u'here', u'every', u'other', u'Subway', u'will', u'not', u'meet', u'your', u'expectations']",1
135,"[u'I', u'had', u'a', u'seriously', u'solid', u'breakfast', u'here']",1
136,"[u'This', u'is', u'one', u'of', u'the', u'best', u'bars', u'with', u'food', u'in', u'Vegas']",1
137,"[u'He', u'was', u'extremely', u'rude', u'and', u'really', u'there', u'are', u'so', u'many', u'other', u'restaurants', u'I', u'would', u'love', u'to', u'dine', u'at', u'during', u'a', u'weekend', u'in', u'Vegas']",0
138,"[u'My', u'drink', u'was', u'never', u'empty', u'and', u'he', u'made', u'some', u'really', u'great', u'menu', u'suggestions']",1
139,"[u'Don', u't', u'do', u'it']",0
140,"[u'The', u'waiter', u'wasn', u't', u'helpful', u'or', u'friendly', u'and', u'rarely', u'checked', u'on', u'us']",0
141,"[u'My', u'husband', u'and', u'I', u'ate', u'lunch', u'here', u'and', u'were', u'very', u'disappointed', u'with', u'the', u'food', u'and', u'service']",0
142,"[u'And', u'the', u'red', u'curry', u'had', u'so', u'much', u'bamboo', u'shoots', u'and', u'wasn', u't', u'very', u'tasty', u'to', u'me']",0
143,"[u'Nice', u'blanket', u'of', u'moz', u'over', u'top', u'but', u'i', u'feel', u'like', u'this', u'was', u'done', u'to', u'cover', u'up', u'the', u'subpar', u'food']",1
144,"[u'The', u'bathrooms', u'are', u'clean', u'and', u'the', u'place', u'itself', u'is', u'well', u'decorated']",1
145,"[u'The', u'menu', u'is', u'always', u'changing', u'food', u'quality', u'is', u'going', u'down', u'service', u'is', u'extremely', u'slow']",0
146,"[u'The', u'service', u'was', u'a', u'little', u'slow', u'considering', u'that', u'were', u'served', u'by', u'3', u'people', u'servers', u'so', u'the', u'food', u'was', u'coming', u'in', u'a', u'slow', u'pace']",0
147,"[u'I', u'give', u'it', u'2', u'thumbs', u'down']",0
148,"[u'We', u'watched', u'our', u'waiter', u'pay', u'a', u'lot', u'more', u'attention', u'to', u'other', u'tables', u'and', u'ignore', u'us']",0
149,"[u'My', u'fianc', u'and', u'I', u'came', u'in', u'the', u'middle', u'of', u'the', u'day', u'and', u'we', u'were', u'greeted', u'and', u'seated', u'right', u'away']",1
150,"[u'This', u'is', u'a', u'great', u'restaurant', u'at', u'the', u'Mandalay', u'Bay']",1
151,"[u'We', u'waited', u'for', u'forty', u'five', u'minutes', u'in', u'vain']",0
152,"[u'Crostini', u'that', u'came', u'with', u'the', u'salad', u'was', u'stale']",0
153,"[u'Some', u'highlights', u'Great', u'quality', u'nigiri', u'here']",1
154,"[u'the', u'staff', u'is', u'friendly', u'and', u'the', u'joint', u'is', u'always', u'clean']",1
155,"[u'this', u'was', u'a', u'different', u'cut', u'than', u'the', u'piece', u'the', u'other', u'day', u'but', u'still', u'wonderful', u'and', u'tender', u's', u'well', u'as', u'well', u'flavored']",1
156,"[u'I', u'ordered', u'the', u'Voodoo', u'pasta', u'and', u'it', u'was', u'the', u'first', u'time', u'I', u'd', u'had', u'really', u'excellent', u'pasta', u'since', u'going', u'gluten', u'free', u'several', u'years', u'ago']",1
157,"[u'this', u'place', u'is', u'good']",1
158,"[u'Unfortunately', u'we', u'must', u'have', u'hit', u'the', u'bakery', u'on', u'leftover', u'day', u'because', u'everything', u'we', u'ordered', u'was', u'STALE']",0
159,"[u'I', u'came', u'back', u'today', u'since', u'they', u'relocated', u'and', u'still', u'not', u'impressed']",0
160,"[u'I', u'was', u'seated', u'immediately']",1
161,"[u'Their', u'menu', u'is', u'diverse', u'and', u'reasonably', u'priced']",1
162,"[u'Avoid', u'at', u'all', u'cost']",0
163,"[u'Restaurant', u'is', u'always', u'full', u'but', u'never', u'a', u'wait']",1
164,[u'DELICIOUS'],1
165,"[u'This', u'place', u'is', u'hands', u'down', u'one', u'of', u'the', u'best', u'places', u'to', u'eat', u'in', u'the', u'Phoenix', u'metro', u'area']",1
166,"[u'So', u'don', u't', u'go', u'there', u'if', u'you', u'are', u'looking', u'for', u'good', u'food']",0
167,"[u'I', u've', u'never', u'been', u'treated', u'so', u'bad']",0
168,"[u'Bacon', u'is', u'hella', u'salty']",1
169,"[u'We', u'also', u'ordered', u'the', u'spinach', u'and', u'avocado', u'salad', u'the', u'ingredients', u'were', u'sad', u'and', u'the', u'dressing', u'literally', u'had', u'zero', u'taste']",0
170,"[u'This', u'really', u'is', u'how', u'Vegas', u'fine', u'dining', u'used', u'to', u'be', u'right', u'down', u'to', u'the', u'menus', u'handed', u'to', u'the', u'ladies', u'that', u'have', u'no', u'prices', u'listed']",1
171,"[u'The', u'waitresses', u'are', u'very', u'friendly']",1
172,"[u'Lordy', u'the', u'Khao', u'Soi', u'is', u'a', u'dish', u'that', u'is', u'not', u'to', u'be', u'missed', u'for', u'curry', u'lovers']",1
173,"[u'Everything', u'on', u'the', u'menu', u'is', u'terrific', u'and', u'we', u'were', u'also', u'thrilled', u'that', u'they', u'made', u'amazing', u'accommodations', u'for', u'our', u'vegetarian', u'daughter']",1
174,"[u'Perhaps', u'I', u'caught', u'them', u'on', u'an', u'off', u'night', u'judging', u'by', u'the', u'other', u'reviews', u'but', u'I', u'm', u'not', u'inspired', u'to', u'go', u'back']",0
175,"[u'The', u'service', u'here', u'leaves', u'a', u'lot', u'to', u'be', u'desired']",0
176,"[u'The', u'atmosphere', u'is', u'modern', u'and', u'hip', u'while', u'maintaining', u'a', u'touch', u'of', u'coziness']",1
177,"[u'Not', u'a', u'weekly', u'haunt', u'but', u'definitely', u'a', u'place', u'to', u'come', u'back', u'to', u'every', u'once', u'in', u'a', u'while']",1
178,"[u'We', u'literally', u'sat', u'there', u'for', u'20', u'minutes', u'with', u'no', u'one', u'asking', u'to', u'take', u'our', u'order']",0
179,"[u'The', u'burger', u'had', u'absolutely', u'no', u'flavor', u'the', u'meat', u'itself', u'was', u'totally', u'bland', u'the', u'burger', u'was', u'overcooked', u'and', u'there', u'was', u'no', u'charcoal', u'flavor']",0
180,"[u'I', u'also', u'decided', u'not', u'to', u'send', u'it', u'back', u'because', u'our', u'waitress', u'looked', u'like', u'she', u'was', u'on', u'the', u'verge', u'of', u'having', u'a', u'heart', u'attack']",0
181,"[u'I', u'dressed', u'up', u'to', u'be', u'treated', u'so', u'rudely']",0
182,"[u'It', u'was', u'probably', u'dirt']",0
183,"[u'Love', u'this', u'place', u'hits', u'the', u'spot', u'when', u'I', u'want', u'something', u'healthy', u'but', u'not', u'lacking', u'in', u'quantity', u'or', u'flavor']",1
184,"[u'I', u'ordered', u'the', u'Lemon', u'raspberry', u'ice', u'cocktail', u'which', u'was', u'also', u'incredible']",1
185,"[u'The', u'food', u'sucked', u'which', u'we', u'expected', u'but', u'it', u'sucked', u'more', u'than', u'we', u'could', u'have', u'imagined']",0
186,"[u'Interesting', u'decor']",1
187,"[u'What', u'I', u'really', u'like', u'there', u'is', u'the', u'crepe', u'station']",1
188,"[u'Also', u'were', u'served', u'hot', u'bread', u'and', u'butter', u'and', u'home', u'made', u'potato', u'chips', u'with', u'bacon', u'bits', u'on', u'top', u'very', u'original', u'and', u'very', u'good']",1
189,"[u'you', u'can', u'watch', u'them', u'preparing', u'the', u'delicious', u'food']",1
190,"[u'Both', u'of', u'the', u'egg', u'rolls', u'were', u'fantastic']",1
191,"[u'When', u'my', u'order', u'arrived', u'one', u'of', u'the', u'gyros', u'was', u'missing']",0
192,"[u'I', u'had', u'a', u'salad', u'with', u'the', u'wings', u'and', u'some', u'ice', u'cream', u'for', u'dessert', u'and', u'left', u'feeling', u'quite', u'satisfied']",1
193,"[u'I', u'm', u'not', u'really', u'sure', u'how', u'Joey', u's', u'was', u'voted', u'best', u'hot', u'dog', u'in', u'the', u'Valley', u'by', u'readers', u'of', u'Phoenix', u'Magazine']",0
194,"[u'The', u'best', u'place', u'to', u'go', u'for', u'a', u'tasty', u'bowl', u'of', u'Pho']",1
195,"[u'The', u'live', u'music', u'on', u'Fridays', u'totally', u'blows']",0
196,"[u'I', u've', u'never', u'been', u'more', u'insulted', u'or', u'felt', u'disrespected']",0
197,"[u'Very', u'friendly', u'staff']",1
198,"[u'It', u'is', u'worth', u'the', u'drive']",1
199,"[u'I', u'had', u'heard', u'good', u'things', u'about', u'this', u'place', u'but', u'it', u'exceeding', u'every', u'hope', u'I', u'could', u'have', u'dreamed', u'of']",1
200,"[u'Food', u'was', u'great', u'and', u'so', u'was', u'the', u'serivce']",1
201,"[u'The', u'warm', u'beer', u'didn', u't', u'help']",0
202,"[u'Great', u'brunch', u'spot']",1
203,"[u'Service', u'is', u'friendly', u'and', u'inviting']",1
204,"[u'Very', u'good', u'lunch', u'spot']",1
205,"[u'I', u've', u'lived', u'here', u'since', u'1979', u'and', u'this', u'was', u'the', u'first', u'and', u'last', u'time', u'I', u've', u'stepped', u'foot', u'into', u'this', u'place']",0
206,"[u'The', u'WORST', u'EXPERIENCE', u'EVER']",0
207,"[u'Must', u'have', u'been', u'an', u'off', u'night', u'at', u'this', u'place']",0
208,"[u'The', u'sides', u'are', u'delish', u'mixed', u'mushrooms', u'yukon', u'gold', u'puree', u'white', u'corn', u'beateous']",1
209,"[u'If', u'that', u'bug', u'never', u'showed', u'up', u'I', u'would', u'have', u'given', u'a', u'4', u'for', u'sure', u'but', u'on', u'the', u'other', u'side', u'of', u'the', u'wall', u'where', u'this', u'bug', u'was', u'climbing', u'was', u'the', u'kitchen']",0
210,"[u'For', u'about', u'10', u'minutes', u'we', u'we', u're', u'waiting', u'for', u'her', u'salad', u'when', u'we', u'realized', u'that', u'it', u'wasn', u't', u'coming', u'any', u'time', u'soon']",0
211,"[u'My', u'friend', u'loved', u'the', u'salmon', u'tartar']",1
212,"[u'Won', u't', u'go', u'back']",0
213,"[u'Extremely', u'Tasty']",1
214,"[u'Waitress', u'was', u'good', u'though']",1
215,"[u'Soggy', u'and', u'not', u'good']",0
216,"[u'The', u'Jamaican', u'mojitos', u'are', u'delicious']",1
217,"[u'Which', u'are', u'small', u'and', u'not', u'worth', u'the', u'price']",0
218,"[u'the', u'food', u'is', u'rich', u'so', u'order', u'accordingly']",1
219,"[u'The', u'shower', u'area', u'is', u'outside', u'so', u'you', u'can', u'only', u'rinse', u'not', u'take', u'a', u'full', u'shower', u'unless', u'you', u'don', u't', u'mind', u'being', u'nude', u'for', u'everyone', u'to', u'see']",0
220,"[u'The', u'service', u'was', u'a', u'bit', u'lacking']",0
221,"[u'Lobster', u'Bisque', u'Bussell', u'Sprouts', u'Risotto', u'Filet', u'ALL', u'needed', u'salt', u'and', u'pepper', u'and', u'of', u'course', u'there', u'is', u'none', u'at', u'the', u'tables']",0
222,"[u'Hopefully', u'this', u'bodes', u'for', u'them', u'going', u'out', u'of', u'business', u'and', u'someone', u'who', u'can', u'cook', u'can', u'come', u'in']",0
223,"[u'It', u'was', u'either', u'too', u'cold', u'not', u'enough', u'flavor', u'or', u'just', u'bad']",0
224,"[u'I', u'loved', u'the', u'bacon', u'wrapped', u'dates']",1
225,"[u'This', u'is', u'an', u'unbelievable', u'BARGAIN']",1
226,"[u'The', u'folks', u'at', u'Otto', u'always', u'make', u'us', u'feel', u'so', u'welcome', u'and', u'special']",1
227,"[u'As', u'for', u'the', u'mains', u'also', u'uninspired']",0
228,"[u'This', u'is', u'the', u'place', u'where', u'I', u'first', u'had', u'pho', u'and', u'it', u'was', u'amazing']",1
229,"[u'This', u'wonderful', u'experience', u'made', u'this', u'place', u'a', u'must', u'stop', u'whenever', u'we', u'are', u'in', u'town', u'again']",1
230,"[u'If', u'the', u'food', u'isn', u't', u'bad', u'enough', u'for', u'you', u'then', u'enjoy', u'dealing', u'with', u'the', u'world', u's', u'worst', u'annoying', u'drunk', u'people']",0
231,"[u'Very', u'very', u'fun', u'chef']",1
232,"[u'Ordered', u'a', u'double', u'cheeseburger', u'got', u'a', u'single', u'patty', u'that', u'was', u'falling', u'apart', u'picture', u'uploaded', u'Yeah', u'still', u'sucks']",0
